id,cost,strength,willpower,lore,ink,type_clean,keywords,classifications,illustrators,flavor_text
crd_9f0c12874b204c0f99d48aa7ddb68c51,3,NA,NA,NA,Amber,Action,character(0),NULL,Mariana Moreno Ayala,NA
crd_f192e99706074455884cf28efb9ee03a,2,NA,NA,NA,Amber,Item,character(0),NULL,Kuya Jaypi,
crd_15a22d22153042c6ae825f60587268f1,2,NA,NA,NA,Amber,Item,character(0),NULL,Simone Buonfantino,NA
crd_eaceb59bf4e6464c98ac6c6c37fccfe3,1,NA,6,NA,Amber,Location,character(0),NULL,Alex Shin,
crd_0c75f068ac98487f9544d1bce3858b39,2,NA,6,1,Amber,Location,character(0),NULL,Jeremy Adams,
crd_bf3808fbbb364067a497257398cf353d,3,3,4,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"", ""Madrigal"")",Ellie Horie,"""Once upon a time, there was a casita in the mountains with a very special family..."""
crd_28b38ef0a82544318f15540b4351041e,5,4,4,2,Amethyst,Character,Shift,"c(""Floodborn"", ""Hero"", ""Princess"", ""Sorcerer"")",Malia Ewart,The mixed ink had changed more than just the rose.
crd_66c07857c8554f0e838323669a19ffa5,3,3,3,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Princess"")",Angelina Ricardo,"No matter what she tried, Belle couldn't fully heal the Beast's wound."
crd_140b4894a53d4884a4ec1e15dab9319a,5,4,5,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"", ""Madrigal"")",Aubrey Archer,NA
crd_a7a6c097879443db9bb5299c7017fd20,4,3,3,1,Amethyst,Character,Evasive,"c(""Storyborn"", ""Ally"", ""Madrigal"")",Juan Diego Leon,
crd_dd2e51f86dbb42e59b5b378170b9c189,4,2,5,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"", ""Madrigal"")",Emily Abeydeera,
crd_d469872faa0b4f0fb50d4a0dbc521211,4,3,3,2,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"", ""Madrigal"")",Otto Paredes,NA
crd_178373b0fe2f483b90202bfeb6014e0a,3,1,4,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Hero"", ""Queen"", ""Sorcerer"")",Mariana Moreno,"After Elsa dispersed Ursula's storm, Anna was nowhere to be found."
crd_5fb77165fcbc43e99fc15c3d64426b65,3,4,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Ally"")",Brian Kesinger,"""Now the crown and the trident are mine!"" -Ursula"
crd_2eb85540f12446e38d0eef16937315eb,6,5,5,2,Amethyst,Character,Shift,"c(""Floodborn"", ""Ally"")",Brian Kesinger,
crd_21cddbd22cb445fbb3b810abe4ecbaf6,5,3,4,1,Amethyst,Character,Evasive,"c(""Storyborn"", ""Ally"", ""Madrigal"")",Otto Paredes,
crd_b61f1e595b3844cdad00a05ee402457b,3,2,4,1,Amethyst,Character,Challenger,"c(""Dreamborn"", ""Ally"")",Brian Kesinger,He snatched the trident from the betrayed glimmer.
crd_6505ff3398e942299cadd1b3995258cd,4,4,3,1,Amethyst,Character,Rush,"c(""Storyborn"", ""Ally"", ""Madrigal"")",Juan Diego Leon,"""This rock? No problem. Go get that prophecy, hermana!"""
crd_65f55cf2eedd49668ac8946ebd4d2105,1,1,2,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Broom"")",Eva Widermann,Just a few barnacles away from retirement...
crd_bdc1291ed02b4526802da87554f615fd,3,2,4,1,Amethyst,Character,character(0),"c(""Dreamborn"", ""Broom"")",Rudy Hill,
crd_217effcb1f034d1ca6e36929cce6f11d,2,2,2,2,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Natalia Trykowska,"""Have you ever seen anything so beautiful?"" she asked, marveling at the Amethyst trees. 
""No, cherie,"" Lumiere replied, never taking his eyes off her. ""I have not."""
crd_4539b94483584e5591a52ff5f95348ae,3,0,3,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Simone de Bertini,"""You're very strong. Do you work out?"" -Olaf"
crd_26639bb10e744e3ca745b81492084497,4,3,4,2,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Veronica Di Lorenzo / Livio Cacciatore,
crd_8f5bdfa86b31418bb75a251ce2ebd313,5,1,5,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"", ""Madrigal"")",Samanta Erdini,
crd_2d0021113d084cee92cd6b33f104c1b4,3,2,3,1,Amethyst,Character,"c(""Evasive"", ""Rush"")","c(""Storyborn"", ""Hero"")",Emily Abeydeera,
crd_f71295d13f8441589472b5a993df7372,2,3,2,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Ally"")",Hadjie Joos,He spotted a mysterious glow in the mountains nearby. Could it be the missing piece of the prophecy?
crd_8702d63bf6f64674b5871fa1373a1221,6,4,7,1,Amethyst,Character,Evasive,"c(""Storyborn"", ""Ally"")",Kenneth Anderson,"""That cursed beast liked the taste of me so well he's followed me ever since . . .""
- Captain Hook"
crd_3bee770abeec4669a01be3a0e307cf14,2,1,3,1,Amethyst,Character,Challenger,"c(""Dreamborn"", ""Villain"", ""Sorcerer"")",Adam Ford,"After her, Flotsam! I can't rule Lorcana without the Hexwell Crown!"
crd_d7277fc755604989840cc645a4324ba9,7,4,7,3,Amethyst,Character,Shift,"c(""Floodborn"", ""Villain"", ""Queen"", ""Sorcerer"")",Lady Shalivin,NA
crd_09c5139c68724642b9f7e54f50264473,2,1,3,1,Amethyst,Character,character(0),"c(""Storyborn"", ""Hero"", ""Sorcerer"")",Matthew Robert Davies,
crd_44c51a9b55cd433fb569767a78ebf976,2,NA,NA,NA,Amethyst,Action Song,character(0),NULL,Denny Minonne,"In pain, in need"
crd_2712b680c8c541bc868af5e0e208d295,10,NA,NA,NA,Amethyst,Action Song,Sing Together,NULL,Natalia Trykowska,Lead us to the land we dream of
crd_388773c70283456b87414157b1eebd98,1,NA,NA,NA,Amethyst,Action,character(0),NULL,Wouter Bruneel,
crd_d06befe89918438384a8d38e7acea2bd,3,NA,NA,NA,Amethyst,Action,character(0),NULL,Eri Welli,"""With both the crown and the trident, together we would be unstoppable!"""
crd_1f22214638bd46d089a6751e57dfd829,2,NA,NA,NA,Amethyst,Item,character(0),NULL,Olivier Désirée,"Ink surrounded Belle's last hope to heal the Beast. With no other choice, she reached out for it..."
crd_61d6a3538b6e40389baa4516d896cf06,2,NA,NA,NA,Amethyst,Item,character(0),NULL,Gabriel Angelo,The transformed rose made short work of the Beast's wound. But even the gentlest magic comes at a cost.
crd_57067560f7f0499da43dd94731e85552,2,NA,NA,NA,Amethyst,Item,character(0),NULL,Matt Chapman,"""Just imagine all this power in the wrong hands...""
-Ursula"
crd_3d71ecca4c6c4ec8ba289a785f237535,1,NA,6,NA,Amethyst,Location,character(0),NULL,Rachel Elese,
crd_70a2a01e064142b0a132d9ce3a86a293,3,NA,6,1,Amethyst,Location,character(0),NULL,Eri Welli / Sam Burley,
crd_38b8a802fe784ee286fd81ddc09ea7ec,5,3,4,3,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Heidi Neunhoffer,Everyone feels better just knowing he's around.
crd_af531020efc14cb38f4ffeb159eb8eff,3,2,2,1,Emerald,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Ally"")",Alice Pisoni,
crd_abd789362dc8479c8dc89e89859b6a6a,1,1,2,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Ellie Horie,"""Keep an eye on the sea witch, my pet. Tell me everything.""
– Maleficent"
crd_96a14bbf788e4a138b05f46f08c0fa47,4,3,3,2,Emerald,Character,character(0),"c(""Dreamborn"", ""Ally"")",Anderson Mahanski,"""I hate to cover this trap door. It really pulls the room together!"""
crd_773d33f2fd1e4f54b3a47363b31ebce1,2,2,3,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Maddie Shilt,You can always rely on him when it comes to cheese.
crd_56206ef4f9ec4b82afc4a656d41e5ba4,4,3,3,1,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"", ""Deity"")",Alan Batson,
crd_5417eda101854e4e965af0714d41cb8b,3,2,3,2,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Anna Stosik,
crd_0ac3ee4c2bb043a280fa2e4f7f6505e7,3,1,3,2,Emerald,Character,Ward,"c(""Storyborn"", ""Queen"", ""Deity"")",Raquel Villanueva,
crd_b0d75ae5da0646e797f1563c8811e629,3,1,4,2,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Maddie Shilt,Teamwork makes the cheese work.
crd_762ed07f53ea4ca6a4cf7ae20ed53535,5,3,3,2,Emerald,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Princess"")",Alice Pisoni,
crd_bb689737789640e98f540464691035a6,3,3,6,2,Emerald,Character,character(0),"c(""Dreamborn"", ""Ally"")",Yu Nguyen,"With love, there's always a catch."
crd_6cb1a1b4a1e447b19a2a22c63e15dec9,5,4,4,2,Emerald,Character,Ward,"c(""Storyborn"", ""Ally"")",Ye Yang / Raquel Villanueva,
crd_ca58ca94b74e4df8983b1eaecff999a3,3,2,4,2,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Oggy Christiansson,"""We totally took care of that thing you told us to do and definitely did not spend the day in Thebes ticketing chariots and stealing people's laundry."""
crd_3b8a6e3644374d98828747b29622e053,4,3,3,2,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Oggy Christiansson,"""We absolutely took care of that thing, boss. No problems, just great."""
crd_618b8dca0fe24706aae51c2c75736dd9,5,3,3,2,Emerald,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Ally"")",Brian Weisz,
crd_e7fa7e2b66a6410b9baafd7d7e46f119,1,1,1,1,Emerald,Character,Evasive,"c(""Storyborn"", ""Ally"")",Briab Weisz,"""His name is Pegasus. And he's all yours....""
–Zeus"
crd_07556ab263e64b3e816e9b094893b497,2,2,3,1,Emerald,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Musketeer"")",Carlos Luzzi,
crd_e99a28536b8c4a7e98db8ee70e564fba,4,1,5,2,Emerald,Character,character(0),"c(""Storyborn"", ""Villain"", ""Musketeer"")",Stefano Zanchi,"Minnie: ""This is an outrage!""
Pete: ""No. It's my nefarious plan to steal the throne."""
crd_c7b6cf4db56e43acae3ec918308dc672,9,6,6,3,Emerald,Character,"c(""Evasive"", ""Shift"")","c(""Floodborn"", ""Hero"", ""Prince"")",Randy Bishop,
crd_79e2d6da18c84548bfc363e1aea10da1,4,3,4,2,Emerald,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Prince"")",Mike Parker,He stands ready to protect his friends from any threat.
crd_cd05e8e7bb5c434cba3487e6f2aaf7ed,1,2,1,1,Emerald,Character,character(0),"c(""Storyborn"", ""Ally"")",Jon Densk / Hayley Evans,"""We know everything."" 
– Lachesis"
crd_12e044565cad4dea9a798105ec0df2f2,4,2,4,1,Emerald,Character,Ward,"c(""Storyborn"", ""Ally"")",Brittney Hackett,NA
crd_da27f6ea33754e3990af2592197c8c35,5,4,7,1,Emerald,Character,character(0),"c(""Dreamborn"", ""Ally"")",Anderson Mahanski,"They say that his arrangements are exquisite,
His composites and bouquets are so divine.
But when the crowds try to come and visit,
There's always quite a fight to form a line."
crd_6c8b36633fae4e9c9106e63af43934eb,3,0,5,2,Emerald,Character,character(0),"c(""Storyborn"", ""King"", ""Deity"")",Moniek Schilder,"""Ha! Now watch your old man work!"""
crd_d02ae657899e4523a0db31c20bdb03e9,2,NA,NA,NA,Emerald,Action,character(0),NULL,Wouter Bruneel,"""Missed me, you doggone bully!"""
crd_afc3862d2be34a6893a1d99cef9c90e6,2,NA,NA,NA,Emerald,Action,character(0),NULL,Elodie Mondoloni,
crd_dbd4475720c8479481050b2ba6ef3c5a,8,NA,NA,NA,Emerald,Action Song,Sing Together,NULL,Dylan Bonner,Such wonderful things surround you
crd_ab7661f7212743ee9509dc6f2546baa6,1,NA,NA,NA,Emerald,Action,character(0),NULL,Matthew Robert Davies,"""How dare you double-cross me!"" Ursula shouted, lunging at the other glimmer."
crd_57e2c4722d1b4d5c96a196415c1ca434,5,NA,NA,NA,Emerald,Action Song,character(0),NULL,Giulia Riva,Your fate is sealed when your prophecy is read!
crd_8bea9b8848964337b64e2ceed5c41302,2,NA,NA,NA,Emerald,Item,character(0),NULL,Adam Fenton,"""It looks like it's been here forever.""
-Flounder"
crd_03e583258e944837bd3b9f4772c45f8c,2,NA,NA,NA,Emerald,Item,character(0),NULL,Andrew Peña,"""I would love to help you, of course, but there's the little matter of the contract ..."" -Ursula"
crd_58f8144b0f884b70a2a6b946ba8377cd,3,NA,NA,NA,Emerald,Item,character(0),NULL,Jonas Petrauskas,"""Tio Bruno! What's happening to him? We have to help!""
—Mirabel"
crd_765e58c338aa4f4aa667d89198ec741b,1,NA,6,NA,Emerald,Location,character(0),NULL,Roberto Gatto,"""Flounder, this is perfect! I can't wait to explore it.""
-Ariel"
crd_5b7970f5f54d4311882227c856ac28ac,4,NA,7,1,Emerald,Location,character(0),NULL,Jonathan Livslyst,NA
crd_c3acd1c879e645779501109c65580c93,3,2,6,2,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Prince"")",Ian MacDonald,It wasn't the severity of the wounds but the sickly substance that caused such unbearable pain.
crd_35af1bfc231746a3914e8e02bb3b8afa,4,5,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Mentor"", ""King"")",Eri Welli,"""We must work together to heal the entangled."""
crd_8fe17bb9974247b18e4180d4e4df3ab0,2,0,4,1,Ruby,Character,character(0),"c(""Storyborn"", ""Mentor"")",Carmine Pucci,"""I'm ready to serve the Emperor."""
crd_7cdbe543d7e447a6a84144d85870b3b9,2,2,2,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Prince"")",Mike Mu,"""You guys look busy—I'll just keep an eye on this lore for you."""
crd_2079d6704f3a4822be89fffeb6ed32dd,4,2,4,1,Ruby,Character,Rush,"c(""Storyborn"", ""Hero"")",Justin Runfola,Never underestimate the power of a Goof.
crd_606b261078744cc8819ce42293651b88,3,3,3,1,Ruby,Character,Rush,"c(""Storyborn"", ""Hero"", ""Prince"")",Antoine Couttolenec,"""Nice catch, Jerkules.""
–Village boy"
crd_90c1d84c1ab7490897021c0eb19f781c,5,7,3,0,Ruby,Character,"c(""Reckless"", ""Rush"")","c(""Dreamborn"", ""Hero"", ""Prince"")",Diogo Saito,
crd_de5bf1478737423d8469d662e40a89d0,2,3,2,1,Ruby,Character,character(0),"c(""Storyborn"", ""Ally"")",Nicholas Kole,"As silent as a shadow and faster than the wind: brave Khan, the mightiest stallion."
crd_bbec90ced5704bd6b427c55fcfc0e3bf,1,2,2,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"")",Brian Kesinger,"His training was unsurpassed, but it was his courage that would see him through this fight."
crd_4a59e793877041acaa1b8bf5543d85b0,3,3,2,1,Ruby,Character,Shift,"c(""Floodborn"", ""Hero"")",Nicola Saviori,
crd_d9c43964a9e84935940c0e01e52a7e6b,2,2,2,1,Ruby,Character,character(0),"c(""Dreamborn"", ""Ally"")",Valentin Palombo,"""The invaders are at our gates, mes amis! It's time to show them what we're made of."""
crd_d716dab053a54d448c9544db720aa77c,6,2,6,2,Ruby,Character,Shift,"c(""Floodborn"", ""Hero"", ""Princess"")",Nicola Saviori,
crd_263c69baf83347208e5cd76863a4afd9,2,1,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Jared Matthews,"Ursula's messengers fled, leaving behind tendrils of dark ink."
crd_3ef4ed482d774066a82884d9424efe5c,1,2,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Jared Mathews,She'll never give up.
crd_5c2aaf063d1f46c89b17dae93940f47c,3,2,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Villain"", ""Princess"")",Kasia Brzezinska,
crd_8ae1e6ad39e04645b85489774efd1418,6,7,5,2,Ruby,Character,character(0),"c(""Storyborn"", ""Villain"")",Justin Runfola,He sent the eels away when they came with the sea witch's offer. He didn't need her help making trouble.
crd_eb12e8151688469f9b259778c64812ca,4,4,4,1,Ruby,Character,character(0),"c(""Storyborn"", ""Ally"")",Denny Minonne,Fortune favors the bold—no matter how small.
crd_42751c368c5545afbfc23be49ae65519,2,3,1,1,Ruby,Character,Evasive,"c(""Storyborn"", ""Ally"")",Kenneth Anderson,"""It zigs, it zags, what else do you need?""
-Phil"
crd_e79d0ba09f4342b5a7a3ffe96ebef508,3,3,3,1,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Peter Brockhammer,"""You're gonna fight an entire army?""
–Sisu"
crd_37a7ae2b078b415aab3dff267ca8c86d,4,3,3,2,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Brittney Hackett,"""There are too many for me. But not for us."""
crd_2224596386434e1cafa9972b63cdf6e1,3,1,1,1,Ruby,Character,Evasive,"c(""Storyborn"", ""Hero"", ""Deity"", ""Dragon"")",Otto Paredes,"""Come on—what's the worst that can happen?"""
crd_36f13b7802ed494fa436673cf2a765ea,3,1,4,2,Ruby,Character,character(0),"c(""Storyborn"", ""Hero"", ""Deity"", ""Dragon"")",Lady Shalirin,Sometimes the only way to fight the unimaginable is with the incredible.
crd_1f7b39db813d495ea2aebf5c8e7ddcbe,8,5,4,3,Ruby,Character,Shift,"c(""Floodborn"", ""Hero"", ""Deity"", ""Dragon"")",Grace Tran,
crd_bf643690c507479592f493f27a9dfeb2,4,3,6,0,Ruby,Character,Reckless,"c(""Storyborn"", ""Ally"")",Mike Parker,"""I too wish to join this fellowship of Druun butt-kickery."""
crd_b90a24aba39e4054897969f472657dc9,3,2,3,1,Ruby,Character,Evasive,"c(""Storyborn"", ""Ally"")",Sandra Rios,
crd_2853060e0d9f479aaf19095e11706ae8,6,NA,NA,NA,Ruby,Action Song,Sing Together,NULL,Valentina Graziuso,"Give me a career
As a buccaneer"
crd_40dfc709e42242c8bf1a905735708345,4,NA,NA,NA,Ruby,Action Song,character(0),NULL,Emily Abeydeera,"Respected, saluted"
crd_be06b6df39cd46c2a192ae1be15fb42c,3,NA,NA,NA,Ruby,Action,character(0),NULL,R. la Barbera / L. Giammichele,There are two ways to leave the Snuggly Duckling — the door or the window.
crd_32f858adfcc74249b32a879235f871c1,1,NA,NA,NA,Ruby,Item,character(0),NULL,Devin Yang,"""By order of the Emperor, one man from every family must serve in the Imperial Army.""
—Chi Fu"
crd_26599f04c2b242a194da9d9207b944b4,2,NA,NA,NA,Ruby,Item,character(0),NULL,Defne Tözüm,
crd_20286eaca8e44e0c8527a00bf07be1c7,3,NA,NA,NA,Ruby,Item,character(0),NULL,Roberto Gatto,It's a once-in-a-lifetime view.
crd_0377cc62eb6044bc808843bbcd39eb48,1,NA,NA,NA,Ruby,Item,character(0),NULL,Sandara Tang,
crd_af45f5f03d0944e79c47f0375cc9597a,2,NA,9,NA,Ruby,Location,character(0),NULL,Jeremiah Schuster,NA
crd_ed931c16cb0142469bd6f7571576d61a,1,NA,5,NA,Ruby,Location,character(0),NULL,Matthew Oates,
crd_323c71c954624f77820944871a8100bd,2,1,4,1,Sapphire,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Queen"")",Maria Dresden,"After talking to Olaf, Anna marched into the unexpected storm to save Kristoff."
crd_03719aa382e14078a9b8a9c35946e850,4,2,4,2,Sapphire,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Queen"", ""Knight"")",Leonardo Giammichele,Make sure you know what's truly important and be willing to fight for it.
crd_268651d4999a481faa22b6598a4dea0c,6,3,4,3,Sapphire,Character,Ward,"c(""Storyborn"", ""Hero"", ""Princess"")",Miss Tania Soler,
crd_f6e236483db94d5cbd74ec3d0c69f685,4,3,3,2,Sapphire,Character,Shift,"c(""Floodborn"", ""Hero"", ""Princess"")",Koni,
crd_4b28e79eba2d4d97bfcad188fd8db943,2,1,3,1,Sapphire,Character,Ward,"c(""Dreamborn"", ""Hero"", ""Princess"")",Koni,Her music fills the Illuminary's gardens with joy and light.
crd_0e74340fa12045cb9bdb4824d72f2ad3,5,3,5,2,Sapphire,Character,character(0),"c(""Storyborn"", ""Villain"")",Rudy Hill,You can find villainy in the most unexpected places.
crd_b792d79485f44ddd8d1fb20b25cb19a3,1,1,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Mentor"")",Sarah Schmidt,"When far from home, Mulan often thinks of her calming presence."
crd_e5268062a91d46d1b89bd272a3f8c043,3,2,2,2,Sapphire,Character,Support,"c(""Storyborn"", ""Ally"")",James C Mulligan,"""Ariel, Ariel! You won't believe what I found!"""
crd_d555fad606ee4b13b0493364de8c4cda,4,3,6,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Villain"", ""Deity"")",Carlos Ruiz,"""On this cute little plot Ursula tentacles are sold a mile away. That sneaky sea witch… Wait! I can use this thing. While you keep those hateful Illumineers busy, I can carry out my plan."""
crd_9b50f321f3a44275b82b5e49b6766c7c,3,3,2,2,Sapphire,Character,character(0),"c(""Storyborn"", ""Villain"", ""Prince"")",Dustin Panzino / Leonardo Giammichele,Hans was confident he could bring Anna to Ursula-all he needed was something of Kristoff's to lure her in.
crd_162d0aec8da44e1d88e84982dd524156,4,3,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Mentor"", ""Queen"")",Jake Murphy,"""Come my darling, homeward bound
When all is lost, then all is found."""
crd_08cbc914c0634bae8d6932b81f7bcdcb,8,8,8,3,Sapphire,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Alien"", ""Pirate"", ""Captain"")",Leonardo Giammichele,"""There are strange things on the edge of the map: sea witches, entangled glimmers, and so on. I'll stick with my ship, thank you very much."""
crd_f4f749bc095641e1b953b1784a6efa51,3,1,4,2,Sapphire,Character,Shift,"c(""Floodborn"", ""Ally"")",Lauren Levering,
crd_d7ce71c1b8814223bb8f1d9ed75cdfb6,1,1,2,1,Sapphire,Character,Support,"c(""Storyborn"", ""Ally"")",Brian Kesinger,"""Isn't this Kristoff's hat? If he went this way, he'll be caught in that storm!"""
crd_551090cbc3134b44b9736a0fd5320b3a,3,3,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Ally"")",Noukah,"If you want to find something hidden, get someone who's an expert at hiding."
crd_02bb98b56ae0427abdd944699f1bda1c,3,1,3,2,Sapphire,Character,Support,"c(""Storyborn"", ""Hero"", ""Prince"")",Mike Parker,
crd_7cfbdaa5c45f4ee9a73d3359c2f206c7,5,3,5,3,Sapphire,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Princess"")",Aubrey Archer,"""Pascal! A new flower for the wall!"""
crd_3dcdfd3bf35341d7835d5b51893bd0cb,2,1,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Ally"")",Kapik,"""Wow. This is special. This is very, very unusual."""
crd_bcef0c1c280242a8878b505860c6d89b,6,6,6,2,Sapphire,Character,character(0),"c(""Storyborn"", ""Hero"", ""Deity"", ""Dragon"")",Roger Pérez,"""It may feel impossible, but sometimes, you just have to take the first step, even before you're ready."""
crd_6cb237f1ebb641b1b4eded004068e865,3,3,3,1,Sapphire,Character,character(0),"c(""Dreamborn"", ""Villain"", ""Queen"", ""Sorcerer"")",Mel Milton,
crd_a5ecfd31d79b4556ab6bf7233081349c,4,3,3,2,Sapphire,Character,character(0),"c(""Storyborn"", ""Ally"")",James C Mulligan,"""A good, hot meal will set you right as rain.""
- Mrs. Potts"
crd_9ddadbe1950b402696855e6668e5cf8f,9,7,9,3,Sapphire,Character,Shift,"c(""Floodborn"", ""King"")",Erin Shin,
crd_a2ef85d2f5774b6d910349770f5db42e,3,3,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""King"")",Diogo Saito,"""If this is the only way, so be it."""
crd_ba5d06b298f545f8a2df2df6accd3294,4,3,4,1,Sapphire,Character,character(0),"c(""Dreamborn"", ""Prince"")",Malia Ewart,
crd_835ae01a69684fe7af625817ecb51341,2,2,3,1,Sapphire,Character,character(0),"c(""Storyborn"", ""Ally"")",Oggy Christiansson,"""Some say he's easily distracted. They're not wrong...""
-Raya"
crd_01a9a94d42824240b555d065d5f5f715,8,NA,NA,NA,Sapphire,Action Song,Sing Together,NULL,Rachel Else,
crd_3185489386dc4b9a833fec1e0668d65f,1,NA,NA,NA,Sapphire,Action,character(0),NULL,Veronica Di Lorenzo / Livio Caciattore,"""Maybe this is just what I need to make my invention work."""
crd_c894fefd53624306a2a7f29942641a9c,2,NA,NA,NA,Sapphire,Action Song,character(0),NULL,Rachel Elese,"I know you
I walked with you once upon a dream"
crd_e0862c1712b84e8eafa76836362c9870,6,NA,NA,NA,Sapphire,Action Song,character(0),NULL,Matt Gaser,How many wonders can one cavern hold?
crd_e8595996603e4e3ab8d772a573e75f5b,3,NA,NA,NA,Sapphire,Item,character(0),NULL,Mariana Moreno,
crd_11587e02677148c28e30eeaa164a2569,3,NA,NA,NA,Sapphire,Item,character(0),NULL,Ryan Bittner,
crd_53adf0c7c527414ab222421a8b5e4ef3,1,NA,NA,NA,Sapphire,Item,character(0),NULL,Gregor Krysiński,Frozen ink can be harvested and processed to many useful ends.
crd_e993888b82a845c698effa4248c9a980,2,NA,7,NA,Sapphire,Location,character(0),NULL,Jeremy Adams,
crd_0d7681a6ac944b5aa5606946cff8ebd5,3,NA,8,1,Sapphire,Location,character(0),NULL,Elodie Mondoloni,
crd_2e7bad8041bf496fad79f3ad42a4fd89,3,3,3,1,Steel,Character,Shift,"c(""Floodborn"", ""Hero"")",Randy Bishop,
crd_7f533fd75db94b9da5770ff4daa062ce,1,1,3,1,Steel,Character,character(0),"c(""Hero"", ""Storyborn"")",Randy Bishop,"""How about we get straight to the part where I leave quickly and you scream after me? No? I can't say I didn't give you a chance."""
crd_8b213fe23fec4f629b8368b197d7d7c8,2,4,1,1,Steel,Character,character(0),"c(""Storyborn"", ""Titan"")",Alice Pisoni,"""Looks like you got some big feelings there, buddy—let's stomp 'em out!""
-Hades"
crd_4bf96e5f5d6146ed8ccc1b2021393803,3,2,4,1,Steel,Character,character(0),"c(""Storyborn"", ""Hero"", ""Princess"")",Dylan Bonner,Everything she's ever wanted is almost in reach.
crd_fd34f98e6230426fb411e1fd8528a7dc,6,3,8,2,Steel,Character,Shift,"c(""Floodborn"", ""Hero"", ""Princess"")",Marcel Berg,NA
crd_aca54534108b43fcb881cb411581c618,3,2,3,1,Steel,Character,Resist,"c(""Storyborn"", ""Hero"", ""Prince"")",Simangaliso Sibaya,He's even tougher than he looks.
crd_6d38ee3cce1e48ae9a8e945734ab950f,3,0,5,1,Steel,Character,character(0),"c(""Storyborn"", ""Ally"")",Gaku Kumatori,"""You, there! Keep that fighting away from here! It is imperative that I write to the Emperor."""
crd_dd040ced1dd34dab9d822a6584cdc41d,5,4,7,1,Steel,Character,Bodyguard,"c(""Storyborn"", ""Ally"")",Michela Cacciatore / Giulia Priori,
crd_da097130ff544f99b4ff980b404c053e,4,3,4,1,Steel,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Pirate"", ""Captain"")",Federico M. Cugliari,Nobody stands a chance against the daring duck of the high seas!
crd_a31f635bcd1f479f86d0a7d15c17e6c9,6,6,5,2,Steel,Character,"c(""Bodyguard"", ""Resist"")","c(""Storyborn"", ""Hero"", ""Prince"")",Leonardo Giammichele,NA
crd_91f835d4527741b8b1190e6695d55698,3,2,3,1,Steel,Character,character(0),"c(""Dreamborn"", ""Ally"")",Kendall Hale,
crd_8f6772e3a731466797fceabc9e3543d1,5,5,5,2,Steel,Character,character(0),"c(""Dreamborn"", ""Hero"", ""Captain"")",Carlos Ruiz,Immovable as a mountain and fierce as a dragon—the Empire's finest warrior.
